customerID,gender,is_senior,Partner,Dependents,tenure,tenure_group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,contract_rank,PaperlessBilling,PaymentMethod,MonthlyCharges,monthly_charge_group,TotalCharges,risk_group,Churn
7590-VHVEG,Female,Non-Senior,Yes,No,1,0-1 year,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Yes,Electronic check,29.85,1-35,29.85,Low Risk,No
5575-GNVDE,Male,Non-Senior,No,No,34,2-4 years,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,2,No,Mailed check,56.95,35-70,1889.5,Low Risk,No
3668-QPYBK,Male,Non-Senior,No,No,2,0-1 year,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Yes,Mailed check,53.85,35-70,108.15,Low Risk,Yes
7795-CFOCW,Male,Non-Senior,No,No,45,2-4 years,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,2,No,Bank transfer (automatic),42.3,35-70,1840.75,Low Risk,No
9237-HQITU,Female,Non-Senior,No,No,2,0-1 year,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,70.7,70+,151.65,High Risk,Yes
9305-CDSKC,Female,Non-Senior,No,No,8,0-1 year,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,99.65,70+,820.5,High Risk,Yes
1452-KIOVK,Male,Non-Senior,No,Yes,22,1-2 years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Yes,Credit card (automatic),89.1,70+,1949.4,Medium Risk,No
6713-OKOMC,Female,Non-Senior,No,No,10,0-1 year,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,1,No,Mailed check,29.75,1-35,301.9,Low Risk,No
7892-POOKP,Female,Non-Senior,Yes,No,28,2-4 years,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Yes,Electronic check,104.8,70+,3046.05,Low Risk,Yes
6388-TABGU,Male,Non-Senior,No,Yes,62,4+ years,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,2,No,Bank transfer (automatic),56.15,35-70,3487.95,Low Risk,No
9763-GRSKD,Male,Non-Senior,Yes,Yes,13,1-2 years,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Yes,Mailed check,49.95,35-70,587.45,Medium Risk,No
7469-LKBCI,Male,Non-Senior,No,No,16,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Credit card (automatic),18.95,1-35,326.8,Medium Risk,No
8091-TTVAX,Male,Non-Senior,Yes,No,58,4+ years,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,2,No,Credit card (automatic),100.35,70+,5681.1,Low Risk,No
0280-XJGEX,Male,Non-Senior,No,No,49,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Bank transfer (automatic),103.7,70+,5036.3,Low Risk,Yes
5129-JLPIS,Male,Non-Senior,No,No,25,2-4 years,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Yes,Electronic check,105.5,70+,2686.05,Low Risk,No
3655-SNQYZ,Female,Non-Senior,Yes,Yes,69,4+ years,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,3,No,Credit card (automatic),113.25,70+,7895.15,Low Risk,No
8191-XWSZG,Female,Non-Senior,No,No,52,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,No,Mailed check,20.65,1-35,1022.95,Low Risk,No
9959-WOFKT,Male,Non-Senior,No,Yes,71,4+ years,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,3,No,Bank transfer (automatic),106.7,70+,7382.25,Low Risk,No
4190-MFLUW,Female,Non-Senior,Yes,Yes,10,0-1 year,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,No,Credit card (automatic),55.2,35-70,528.35,Low Risk,Yes
4183-MYFRB,Female,Non-Senior,No,No,21,1-2 years,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Yes,Electronic check,90.05,70+,1862.9,Medium Risk,No
